rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
3,Sporting California USA ECNL G2008/09,Sporting California USA,134098,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
4,So Cal Blues ECNL G2008/09,So Cal Blues,135784,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
5,Slammers FC HB Koge ECNL G2008/09,Slammers FC,133600,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
6,SLAMMERS FC ECNL G2008/09,Slammers FC,42498,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
7,San Diego Surf ECNL G2008/09,San Diego Surf Soccer Club,132458,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
8,Rebels SC ECNL G2008/09,Rebels Soccer Club,26385,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
9,Phoenix Rising FC ECNL G2008/09,Phoenix Rising FC,59771,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
10,Arizona Arsenal ECNL G2008/09,Arizona Arsenal Soccer Club,134275,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
11,LV Heat Surf ECNL G2008/09,LV Heat Surf SC ,50614,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
12,Legends FC Del Mar ECNL G2008/09,Legends FC - Del Mar,131727,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
13,Legends FC (CA) ECNL G2008/09,Legends FC (CA),133009,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
14,LAFC So Cal ECNL G2008/09,LAFC So Cal,133707,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
15,LA Breakers FC ECNL G2008/09,LA Breakers FC,55512,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
16,Eagles SC ECNL G2008/09,Eagles SC,6122,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
17,Beach Futbol Club (CA) ECNL G2008/09,Beach Futbol Club,131920,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
